Unnamed: 0,lat,lon,r_summer,p_summer,r_all,p_all
19773,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
20116,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
20331,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
17262,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
17617,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
17971,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
18324,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
18689,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
19052,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
19414,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
19772,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
20115,32.726658,-103.12292,0.063969616,0.061240463,-0.173898352,0.051980454
17319,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
17677,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
18031,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
18385,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
18750,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
19114,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
19474,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
19827,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
20171,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
20364,46.825424,-100.76821,0.398143064,0.02895612,0.628701587,0.01207998
17355,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
17713,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
18066,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
18422,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
18786,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
19147,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
19510,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
19859,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
20204,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
20398,34.63298,-98.42879,0.635678132,0.011661156,-0.753721829,0.005567377
17354,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
17712,35.320107,-97.4841,0.125301648,0.054202078,0.613870436,0.012990591
